Municipi;Comarca;Codi;Altitud(m);Superfície(km2);Població;
Salt;Gironès;171557;83;6.64;32138;
Sanaüja;Segarra;251919;409;32.99;379;
Sant Adrià de Besòs;Barcelonès;081944 ;14;3.82;37447;
Sant Agustí de Lluçanès;Osona;081957 ;816;13.22;89;
Sant Andreu de la Barca;Baix Llobregat;081960 ;42;5.5;27569;
Sant Andreu de Llavaneres;Maresme;081976 ;114;11.83;11133;
Sant Andreu Salou;Gironès;171576;132;5.96;160;
Sant Aniol de Finestres;Garrotxa;171833;289;47.73;345;
Sant Antoni de Vilamajor;Vallès Oriental;081982 ;258;13.7;6208;
Sant Bartomeu del Grau;Osona;081995 ;868;34.4;884;
Sant Boi de Llobregat;Baix Llobregat;082009 ;30;21.47;84500;
Sant Boi de Lluçanès;Osona;082016 ;813;19.53;580;
Sant Carles de la Ràpita;Montsià;431362;11;53.72;14953;
Sant Cebrià de Vallalta;Maresme;082037 ;71;15.68;3438;
Sant Celoni;Vallès Oriental;082021 ;152;65.23;18136;
Sant Climent de Llobregat;Baix Llobregat;082042 ;87;10.81;4160;
Sant Climent Sescebes;Alt Empordà;171582;86;24.37;707;
Sant Cugat del Vallès;Vallès Occidental;082055 ;124;48.23;92977;
Sant Cugat Sesgarrigues;Alt Penedès;082068 ;266;6.24;1009;
Sant Esteve de la Sarga;Pallars Jussà;251961;875;92.87;122;
Sant Esteve de Palautordera;Vallès Oriental;082074 ;231;10.64;2864;
Sant Esteve Sesrovires;Baix Llobregat;082080 ;183;18.56;7696;
Sant Feliu de Buixalleu;Selva;171595;402;61.94;797;
Sant Feliu de Codines;Vallès Oriental;082107 ;480;15;6363;
Sant Feliu de Guíxols;Baix Empordà;171609;4;16.23;22097;
Sant Feliu de Llobregat;Baix Llobregat;082114 ;25;11.82;45467;
Sant Feliu de Pallerols;Garrotxa;171616;473;34.86;1437;
Sant Feliu Sasserra;Bages;082129 ;617;22.36;605;
Sant Ferriol;Garrotxa;171621;146;42.24;236;
Sant Fost de Campsentelles;Vallès Oriental;082093 ;112;13.15;8853;
Sant Fruitós de Bages;Bages;082135 ;247;22.2;8837;
Sant Gregori;Gironès;171637;112;49.17;3928;
Sant Guim de Freixenet;Segarra;251924;738;25.1;1037;
Sant Guim de la Plana;Segarra;251977;556;12.45;181;
Sant Hilari Sacalm;Selva;171642;803;83.28;5703;
Sant Hipòlit de Voltregà;Osona;082153 ;536;0.92;3540;
Sant Iscle de Vallalta;Maresme;081939 ;129;17.77;1342;
Sant Jaume d'Enveja;Montsià;439023;7;60.79;3527;
Sant Jaume de Frontanyà;Berguedà;082166 ;1 072;21.26;30;
Sant Jaume de Llierca;Garrotxa;171655;203;6.75;871;
Sant Jaume dels Domenys;Baix Penedès;431378;213;24.45;2624;
Sant Joan de les Abadesses;Ripollès;171674;773;53.67;3224;
Sant Joan de Mollet;Gironès;171680;54;3.15;498;
Sant Joan de Vilatorrada;Bages;082188 ;277;16.42;10998;
Sant Joan Despí;Baix Llobregat;082172 ;10;6.17;34267;
Sant Joan les Fonts;Garrotxa;171851;342;31.94;3044;
Sant Jordi Desvalls;Gironès;171668;57;11.72;760;
Sant Julià de Cerdanyola;Berguedà;089030 ;954;11.79;229;
Sant Julià de Ramis;Gironès;171693;128;18.8;3576;
Sant Julià de Vilatorta;Osona;082205 ;600;15.94;3140;
Sant Julià del Llor i Bonmatí;Selva;179032;160;9.73;1313;
Sant Just Desvern;Baix Llobregat;082212 ;122;7.81;18670;
Sant Llorenç d'Hortons;Alt Penedès;082227 ;196;19.72;2428;
Sant Llorenç de la Muga;Alt Empordà;171714;173;31.84;265;
Sant Llorenç de Morunys;Solsonès;251930;925;4.34;960;
Sant Llorenç Savall;Vallès Occidental;082233 ;466;41.11;2417;
Sant Martí d'Albars;Osona;082251 ;629;14.73;114;
Sant Martí de Centelles;Osona;082248 ;404;25.55;1184;
Sant Martí de Llémena;Gironès;171729;256;43.13;641;
Sant Martí de Riucorb;Urgell;259025;409;34.9;639;
Sant Martí de Tous;Anoia;082264 ;465;39.21;1228;
Sant Martí Sarroca;Alt Penedès;082270 ;291;35.27;3261;
Sant Martí Sesgueioles;Anoia;082286 ;646;3.87;342;
Sant Martí Vell;Gironès;171735;65;17.52;251;
Sant Mateu de Bages;Bages;082299 ;569;102.92;608;
Sant Miquel de Campmajor;Pla de l'Estany;171740;217;33.22;229;
Sant Miquel de Fluvià;Alt Empordà;171753;28;3.51;761;
Sant Mori;Alt Empordà;171766;51;7.53;166;
Sant Pau de Segúries;Ripollès;171772;867;8.74;688;
Sant Pere de Ribes;Garraf;082310 ;44;40.8;31111;
Sant Pere de Riudebitlles;Alt Penedès;082325 ;246;5.38;2380;
Sant Pere de Torelló;Osona;082331 ;621;55.13;2470;
Sant Pere de Vilamajor;Vallès Oriental;082346 ;305;34.72;4544;
Sant Pere Pescador;Alt Empordà;171788;5;18.45;2090;
Sant Pere Sallavinera;Anoia;081897 ;588;22.02;151;
Sant Pol de Mar;Maresme;082359 ;15;7.53;5428;
Sant Quintí de Mediona;Alt Penedès;082362 ;326;13.84;2317;
Sant Quirze de Besora;Osona;082378 ;587;8.1;2154;
Sant Quirze del Vallès;Vallès Occidental;082384 ;188;14.07;20195;
Sant Quirze Safaja;Moianès;082397 ;627;26.21;631;
Sant Ramon;Segarra;251945;641;18.53;487;
Sant Sadurní d'Anoia;Alt Penedès;082401 ;162;18.96;12841;
Sant Sadurní d'Osormort;Osona;082418 ;531;30.6;76;
Sant Salvador de Guardiola;Bages;080983 ;334;37.15;3221;
Sant Vicenç de Castellet;Bages;082628 ;176;17.13;9767;
Sant Vicenç de Montalt;Maresme;082649 ;143;8.05;6452;
Sant Vicenç de Torelló;Osona;082652 ;555;6.56;2058;
Sant Vicenç dels Horts;Baix Llobregat;082634 ;22;9.12;28268;
Santa Bàrbara;Montsià;431384;79;28.15;3715;
Santa Cecília de Voltregà;Osona;082439 ;519;8.63;182;
Santa Coloma de Cervelló;Baix Llobregat;082444 ;73;7.49;8268;
Santa Coloma de Farners;Selva;171805;142;70.64;13363;
Santa Coloma de Gramenet;Barcelonès;082457 ;56;7;120443;
Santa Coloma de Queralt;Conca de Barberà;431397;674;33.85;2672;
Santa Cristina d'Aro;Baix Empordà;171812;30;67.55;5287;
Santa Eugènia de Berga;Osona;082460 ;538;7.01;2278;
Santa Eulàlia de Riuprimer;Osona;082476 ;568;13.82;1383;
Santa Eulàlia de Ronçana;Vallès Oriental;082482 ;236;14.23;7426;
Santa Fe del Penedès;Alt Penedès;082495 ;240;3.4;367;
Santa Llogaia d'Àlguema;Alt Empordà;171827;42;1.94;368;
Santa Margarida de Montbui;Anoia;082508 ;316;27.59;10225;
Santa Margarida i els Monjos;Alt Penedès;082515 ;161;17.16;7676;
Santa Maria d'Oló;Moianès;082589 ;542;66.21;1024;
Santa Maria de Besora;Osona;082536 ;866;24.73;161;
Santa Maria de Martorelles;Vallès Oriental;082567 ;181;4.51;890;
Santa Maria de Merlès;Berguedà;082554 ;532;52.08;184;
Santa Maria de Miralles;Anoia;082573 ;543;25.04;119;
Santa Maria de Palautordera;Vallès Oriental;082592 ;208;16.94;9630;
Santa Oliva;Baix Penedès;431401;101;9.65;3353;
Santa Pau;Garrotxa;171848;496;49.01;1614;
Santa Perpètua de Mogoda;Vallès Occidental;082606 ;74;15.83;25999;
Santa Susanna;Maresme;082613 ;10;12.63;3548;
Santpedor;Bages;081923 ;336;16.59;7604;
Sarral;Conca de Barberà;431423;467;52.39;1538;
Sarrià de Ter;Gironès;171864;70;4.16;5229;
Sarroca de Bellera;Pallars Jussà;252017;1 002;87.51;116;
Sarroca de Lleida;Segrià;252000;201;42.18;358;
Saus. Camallera i Llampaies;Alt Empordà;171870;86;11.36;856;
Savallà del Comtat;Conca de Barberà;431439;825;14.8;53;
Secuita. la;Tarragonès;431444;169;17.77;1708;
Selva de Mar. la;Alt Empordà;171886;48;7.19;195;
Selva del Camp. la;Baix Camp;431457;246;35.31;5683;
Senan;Conca de Barberà;431460;652;11.7;44;
Sénia. la;Montsià;430445;369;108.41;5640;
Senterada;Pallars Jussà;252022;729;34.45;139;
Sentiu de Sió. la;Noguera;250352;281;29.62;414;
Sentmenat;Vallès Occidental;082671 ;207;28.8;9235;
Serinyà;Pla de l'Estany;171903;188;17.38;1133;
Seròs;Segrià;252043;103;85.75;1946;
Serra de Daró;Baix Empordà;171910;15;7.91;222;
Setcases;Ripollès;171925;1 265;49.12;170;
Seu d'Urgell. la;Alt Urgell;252038;691;15.45;12206;
Seva;Osona;082690 ;663;30.4;3544;
Sidamon;Pla d'Urgell;252056;232;8.12;748;
Sils;Selva;171931;76;29.91;6219;
Sitges;Garraf;082704 ;10;43.85;29553;
Siurana;Alt Empordà;170524;33;10.53;171;
Sobremunt;Osona;082711 ;881;13.79;78;
Soleràs. el;Garrigues;252069;381;12.23;332;
Solivella;Conca de Barberà;431476;489;21.37;632;
Solsona;Solsonès;252075;664;17.7;9137;
Sora;Osona;082726 ;716;31.73;212;
Soriguera;Pallars Sobirà;252081;1 258;106.39;420;
Sort;Pallars Sobirà;252094;692;105.05;2154;
Soses;Segrià;252108;118;30.16;1761;
Subirats;Alt Penedès;082732 ;243;55.9;3104;
Sudanell;Segrià;252115;152;8.69;840;
Sunyer;Segrià;252120;211;12.66;343;
Súria;Bages;082747 ;326;23.6;5948;
Susqueda;Selva;171946;816;50.61;93;
Tagamanent;Vallès Oriental;082763 ;354;43.31;318;
Talamanca;Bages;082779 ;552;29.43;209;
Talarn;Pallars Jussà;252154;572;27.95;595;
Talavera;Segarra;252167;791;30.11;279;
Tallada d'Empordà. la;Baix Empordà;171959;20;16.56;454;
Taradell;Osona;082785 ;623;26.48;6640;
Tarragona;Tarragonès;431482;68;57.88;136496;
Tàrrega;Urgell;252173;373;88.36;17445;
Tarrés;Garrigues;252189;578;13.01;102;
Tarroja de Segarra;Segarra;252192;460;7.61;188;
Tavèrnoles;Osona;082750 ;537;18.76;322;
Tavertet;Osona;082802 ;869;32.49;105;
Teià;Maresme;082819 ;128;6.63;6427;
Térmens;Noguera;252206;208;27.54;1360;
Terrades;Alt Empordà;171962;228;20.96;338;
Terrassa;Vallès Occidental;082798 ;277;70.16;223627;
Tiana;Maresme;082824 ;136;7.95;8945;
Tírvia;Pallars Sobirà;252213;991;8.5;134;
Tiurana;Noguera;252228;387;15.86;77;
Tivenys;Baix Ebre;431495;13;53.54;902;
Tivissa;Ribera d'Ebre;431508;309;209.43;1619;
Tona;Osona;082830 ;596;16.54;8356;
Torà;Segarra;252234;448;93.31;1237;
Tordera;Maresme;082845 ;34;84.09;17519;
Torelló;Osona;082858 ;508;13.48;14400;
Torms. els;Garrigues;252249;476;13.75;138;
Tornabous;Urgell;252252;289;24.17;822;
Torre de Cabdella. la;Pallars Jussà;252271;1 075;165.27;759;
Torre de Claramunt. la;Anoia;082861 ;363;15.02;3741;
Torre de Fontaubella. la;Priorat;431515;369;7.11;131;
Torre de l'Espanyol. la;Ribera d'Ebre;431520;164;27.9;601;
Torrebesses;Segrià;252265;287;27.45;267;
Torredembarra;Tarragonès;431536;15;8.71;16567;
Torrefarrera;Segrià;252287;214;23.49;4694;
Torrefeta i Florejacs;Segarra;259078;475;88.91;607;
Torregrossa;Pla d'Urgell;252304;232;40.52;2179;
Torrelameu;Noguera;252311;201;10.93;735;
Torrelavit;Alt Penedès;082877 ;202;23.65;1422;
Torrelles de Foix;Alt Penedès;082883 ;367;36.72;2398;
Torrelles de Llobregat;Baix Llobregat;082896 ;126;13.56;6073;
Torrent;Baix Empordà;171978;44;7.96;164;
Torres de Segre;Segrià;252326;119;50.61;2366;
Torre-serona;Segrià;252332;197;5.89;398;
Torroella de Fluvià;Alt Empordà;171984;9;16.85;703;
Torroella de Montgrí;Baix Empordà;171997;31;65.93;11836;
Torroja del Priorat;Priorat;431541;332;13.16;152;
Tortellà;Garrotxa;172001;276;11.07;818;
Tortosa;Baix Ebre;431554;12;218.51;33439;
Toses;Ripollès;172018;1 444;57.88;168;
Tossa de Mar;Selva;172023;5;38.58;5818;
Tremp;Pallars Jussà;252347;468;302.82;5911;
Ullà;Baix Empordà;172044;21;7.29;1177;
Ullastrell;Vallès Occidental;082900 ;342;7.31;2089;
Ullastret;Baix Empordà;172057;49;11.09;274;
Ulldecona;Montsià;431567;133;126.88;6525;
Ulldemolins;Priorat;431573;650;38.17;398;
Ultramort;Baix Empordà;172039;30;4.35;225;
Urús;Cerdanya;172060;1 263;17.42;196;
Vacarisses;Vallès Occidental;082917 ;382;40.7;6832;
Vajol. la;Alt Empordà;170144;546;4.71;89;
Vall d'en Bas. la;Garrotxa;172076;510;90.67;3093;
Vall de Bianya. la;Garrotxa;172082;367;93.62;1275;
Vall de Boí. la;Alta Ribagorça;250432;1 111;219.49;1019;
Vall de Cardós;Pallars Sobirà;259010;898;56.2;350;
Vallbona d'Anoia;Anoia;082922 ;289;6.45;1357;
Vallbona de les Monges;Urgell;252385;481;34.14;243;
Vallcebre;Berguedà;082938 ;1 123;27.99;249;
Vallclara;Conca de Barberà;431589;625;13.63;88;
Vallfogona de Balaguer;Noguera;252402;235;26.97;1906;
Vallfogona de Ripollès;Ripollès;171707;956;39.2;196;
Vallfogona de Riucorb;Conca de Barberà;431592;573;10.94;77;
Vallgorguina;Vallès Oriental;082943 ;222;22.13;2988;
Vallirana;Baix Llobregat;082956 ;177;23.88;15312;
Vall-llobrega;Baix Empordà;172095;49;5.45;897;
Vallmoll;Alt Camp;431606;161;16.68;1774;
Vallromanes;Vallès Oriental;082969 ;153;10.65;2558;
Valls;Alt Camp;431613;215;55.28;24477;
Valls d'Aguilar. les;Alt Urgell;259062;669;123.81;245;
Valls de Valira. les;Alt Urgell;252398;740;171.25;784;
Vandellòs i l'Hospitalet de l'Infant;Baix Camp;431628;281;102.67;6603;
Vansa i Fórnols. la;Alt Urgell;259097;989;106.08;149;
Veciana;Anoia;082975 ;564;38.9;175;
Vendrell. el;Baix Penedès;431634;49;36.8;38373;
Ventalló;Alt Empordà;172109;28;25.05;846;
Verdú;Urgell;252424;434;35.79;902;
Verges;Baix Empordà;172116;23;9.7;1169;
Vespella de Gaià;Tarragonès;431649;191;18.04;417;
Vic;Osona;082981 ;484;30.58;47630;
Vidrà;Osona;172121;982;34.39;177;
Vidreres;Selva;172137;93;48.05;7951;
Vielha e Mijaran;Val d'Aran;252430;974;211.74;5611;
Vilabella;Alt Camp;431652;254;18.19;729;
Vilabertran;Alt Empordà;172142;19;2.29;993;
Vilablareix;Gironès;172155;99;6.17;3063;
Vilada;Berguedà;082994 ;757;22.34;419;
Viladamat;Alt Empordà;172174;13;11.73;458;
Viladasens;Gironès;172168;96;15.74;206;
Viladecans;Baix Llobregat;083015 ;18;20.4;67197;
Viladecavalls;Vallès Occidental;083008 ;274;20.09;7545;
Vilademuls;Pla de l'Estany;172180;120;61.54;835;
Viladrau;Osona;172207;821;50.73;1047;
Vilafant;Alt Empordà;172214;54;8.36;5421;
Vilafranca del Penedès;Alt Penedès;083054 ;223;19.65;40154;
Vilagrassa;Urgell;252445;355;19.87;560;
Vilajuïga;Alt Empordà;172235;31;13.13;1116;
Vilalba dels Arcs;Terra Alta;431750;450;67.25;621;
Vilalba Sasserra;Vallès Oriental;083067 ;200;6.05;753;
Vilaller;Alta Ribagorça;252458;981;59.23;549;
Vilallonga de Ter;Ripollès;172240;1 067;64.2;398;
Vilallonga del Camp;Tarragonès;431665;124;9.04;2405;
Vilamacolum;Alt Empordà;172253;5;5.57;377;
Vilamalla;Alt Empordà;172266;45;8.77;1161;
Vilamaniscle;Alt Empordà;172272;169;5.46;212;
Vilamòs;Val d'Aran;252477;1 255;15.44;178;
Vilanant;Alt Empordà;172288;98;16.87;386;
Vilanova d'Escornalbou;Baix Camp;431671;226;17.16;565;
Vilanova de Bellpuig;Pla d'Urgell;252483;290;13.98;1183;
Vilanova de l'Aguda;Noguera;252496;409;53.68;200;
Vilanova de la Barca;Segrià;252542;195;21.55;1088;
Vilanova de Meià;Noguera;252509;633;105.24;415;
Vilanova de Prades;Conca de Barberà;431687;893;21.51;107;
Vilanova de Sau;Osona;083036 ;558;58.84;312;
Vilanova de Segrià;Segrià;252516;255;8.51;985;
Vilanova del Camí;Anoia;083020 ;302;10.28;12596;
Vilanova del Vallès;Vallès Oriental;089024 ;91;15.2;5503;
Vilanova i la Geltrú;Garraf;083073 ;22;33.99;67733;
Vilaplana;Baix Camp;431690;366;23.2;555;
Vila-rodona;Alt Camp;431704;259;33.11;1276;
Vila-sacra;Alt Empordà;172305;16;6.03;758;
Vila-sana;Pla d'Urgell;252521;249;19.1;734;
Vila-seca;Tarragonès;431711;45;21.64;22555;
Vilassar de Dalt;Maresme;082140 ;142;8.86;9072;
Vilassar de Mar;Maresme;082191 ;10;4;21035;
Vilaür;Alt Empordà;172229;65;5.49;158;
Vilaverd;Conca de Barberà;431726;269;12.61;443;
Vilella Alta. la;Priorat;431732;327;5.15;133;
Vilella Baixa. la;Priorat;431747;218;5.62;204;
Vilobí d'Onyar;Selva;172333;122;32.59;3333;
Vilobí del Penedès;Alt Penedès;083041 ;286;9.34;1102;
Vilopriu;Baix Empordà;172327;82;16.38;204;
Vilosell. el;Garrigues;252537;665;18.88;173;
Vimbodí i Poblet;Conca de Barberà;431763;496;66.09;890;
Vinaixa;Garrigues;252555;479;37.59;450;
Vinebre;Ribera d'Ebre;431779;34;26.44;425;
Vinyols i els Arcs;Baix Camp;431785;95;10.83;2124;
Viver i Serrateix;Berguedà;083089 ;729;66.8;172;
Xerta;Baix Ebre;430521;12;32.39;1154;
;;;;;;
Institut d'Estadística de Catalunya;;;;;;
https://wwwidescatcat/pub/?id=aec&n=925&t=2020;;;;;;
